Rent,BHK,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom
10000,0.2857142857142857,0.5034642032332562,0.25,1.0,0.8,1.0,0.5,0.4
20000,0.2857142857142857,0.3648960739030023,0.375,1.0,0.8,0.5,0.5,0.0
17000,0.2857142857142857,0.45727482678983833,0.375,1.0,0.8,0.5,0.5,0.0
10000,0.2857142857142857,0.3648960739030023,0.375,1.0,0.8,1.0,0.5,0.0
7500,0.2857142857142857,0.38799076212471134,0.375,0.5,0.8,1.0,0.0,0.0
7000,0.2857142857142857,0.27251732101616627,0.25,1.0,0.8,1.0,0.5,0.4
10000,0.2857142857142857,0.3187066974595843,0.25,1.0,0.8,1.0,0.0,0.4
5000,0.0,0.11085450346420322,0.375,1.0,0.8,1.0,0.0,0.0
26000,0.2857142857142857,0.3648960739030023,0.375,0.5,0.8,1.0,0.0,0.4
10000,0.2857142857142857,0.45727482678983833,0.375,0.5,0.8,0.5,0.5,0.4
25000,0.5714285714285714,0.5496535796766743,0.375,0.5,0.8,0.5,0.5,0.4
5000,0.0,0.18013856812933027,0.375,0.5,0.8,1.0,0.5,0.0
6500,0.0,0.11085450346420322,0.375,0.5,0.8,0.0,0.0,0.0
5500,0.0,0.16859122401847576,0.375,0.5,0.8,1.0,0.5,0.0
8500,0.5714285714285714,0.4110854503464203,0.25,0.5,0.8,1.0,0.0,0.4
40000,0.5714285714285714,0.5893764434180138,0.375,0.5,0.8,0.0,0.5,0.4
6000,0.2857142857142857,0.27251732101616627,0.375,1.0,0.8,0.5,0.5,0.0
10000,0.2857142857142857,0.3648960739030023,0.25,1.0,0.8,1.0,0.5,0.0
11000,0.2857142857142857,0.9191685912240184,0.25,0.5,0.8,1.0,0.5,0.0
6000,0.2857142857142857,0.3002309468822171,0.375,1.0,0.8,1.0,0.5,0.0
7900,0.2857142857142857,0.2956120092378753,0.375,0.5,0.8,1.0,1.0,0.0
9000,0.2857142857142857,0.18013856812933027,0.5,0.5,0.8,1.0,0.0,0.4
4000,0.0,0.13394919168591224,0.25,0.5,0.8,1.0,0.5,0.0
6500,0.5714285714285714,0.7344110854503464,0.25,1.0,0.8,1.0,0.5,0.0
8000,0.0,0.18013856812933027,0.375,1.0,0.8,0.5,0.0,0.0
7000,0.2857142857142857,0.45727482678983833,0.375,1.0,0.8,1.0,0.5,0.0
5300,0.0,0.15935334872979215,0.375,0.5,0.8,0.5,0.5,0.0
6000,0.2857142857142857,0.45727482678983833,0.25,1.0,0.8,0.5,0.5,0.0
8500,0.2857142857142857,0.3648960739030023,0.75,1.0,0.8,1.0,0.5,0.0
12500,0.2857142857142857,0.38799076212471134,0.25,1.0,0.8,1.0,0.5,0.4
7500,0.0,0.15704387990762125,0.25,0.5,0.8,1.0,0.5,0.0
15000,0.2857142857142857,0.4110854503464203,0.25,0.5,0.8,1.0,0.5,0.4
6000,0.2857142857142857,0.24942263279445726,0.375,1.0,0.8,0.5,0.5,0.0
5000,0.2857142857142857,0.22632794457274827,0.25,0.5,0.8,1.0,0.5,0.4
22000,0.5714285714285714,0.5034642032332562,0.5,0.5,0.8,1.0,0.5,0.0
15000,0.2857142857142857,0.38799076212471134,0.375,0.5,0.8,0.5,0.5,0.0
12500,0.2857142857142857,0.3648960739030023,0.5,0.5,0.8,1.0,0.0,0.0
7000,0.2857142857142857,0.2863741339491917,0.25,0.5,0.8,1.0,0.0,0.0
21000,0.2857142857142857,0.4110854503464203,0.375,0.5,0.8,0.5,0.0,0.4
10000,0.0,0.12009237875288684,0.375,0.5,0.8,0.5,0.5,0.0
7200,0.2857142857142857,0.2863741339491917,0.25,0.5,0.8,0.5,0.5,0.0
12000,0.5714285714285714,0.6882217090069284,0.25,0.5,0.8,0.0,0.0,0.4
5000,0.0,0.27251732101616627,0.5,1.0,0.8,1.0,0.5,0.0
8500,0.2857142857142857,0.3187066974595843,0.75,0.5,0.8,0.5,0.5,0.0
6000,0.0,0.13394919168591224,0.25,1.0,0.8,0.5,0.5,0.0
10000,0.2857142857142857,0.5958429561200923,0.25,1.0,0.8,0.5,1.0,0.4
4600,0.2857142857142857,0.18013856812933027,0.625,0.5,0.8,0.5,0.0,0.0
12000,0.2857142857142857,0.2956120092378753,0.25,1.0,0.8,1.0,1.0,0.4
30000,0.5714285714285714,0.9191685912240184,0.25,1.0,0.8,0.5,0.5,0.4
15000,0.5714285714285714,0.4886836027713626,0.25,1.0,0.8,0.5,0.5,0.4
7500,0.0,0.06466512702078521,0.375,1.0,0.8,0.0,0.5,0.0
7500,0.0,0.20323325635103925,0.5,0.5,0.8,1.0,0.0,0.0
5000,0.2857142857142857,0.3648960739030023,0.25,0.5,0.8,1.0,0.5,0.0
15000,0.2857142857142857,0.45727482678983833,0.25,1.0,0.8,1.0,0.5,0.4
11000,0.2857142857142857,0.4110854503464203,0.875,1.0,0.8,0.5,0.0,0.0
7000,0.0,0.27251732101616627,0.25,0.5,0.8,1.0,0.5,0.0
6000,0.2857142857142857,0.5496535796766743,0.375,1.0,0.8,1.0,0.5,0.0
6000,0.2857142857142857,0.5496535796766743,0.5,1.0,0.8,0.5,0.0,0.4
7000,0.2857142857142857,0.2956120092378753,0.25,1.0,0.8,0.5,0.5,0.4
8500,0.2857142857142857,0.3279445727482679,0.75,0.5,0.8,0.5,0.5,0.4
5000,0.0,0.13394919168591224,0.375,0.5,0.8,1.0,0.0,0.0
30000,0.5714285714285714,0.5496535796766743,0.25,0.5,0.8,1.0,0.5,0.8000000000000002
10000,0.2857142857142857,0.3187066974595843,1.0,0.5,0.8,1.0,0.5,0.4
30000,0.5714285714285714,0.9191685912240184,0.375,1.0,0.8,0.5,0.5,0.4
3500,0.0,0.11085450346420322,0.25,1.0,0.8,0.5,0.5,0.0
8000,0.2857142857142857,0.5034642032332562,0.25,0.5,0.8,1.0,0.0,0.0
5000,0.0,0.13394919168591224,0.25,0.5,0.8,1.0,0.5,0.0
7500,0.2857142857142857,0.27251732101616627,0.25,1.0,0.8,0.5,0.5,0.0
6500,0.2857142857142857,0.3648960739030023,0.25,0.5,0.8,1.0,0.5,0.0
7500,0.0,0.3094688221709007,0.375,1.0,0.8,1.0,0.5,0.0
7500,0.0,0.3094688221709007,0.25,1.0,0.8,1.0,0.5,0.0
16000,0.2857142857142857,0.38799076212471134,0.375,0.5,0.8,0.5,0.0,0.0
16000,0.2857142857142857,0.38799076212471134,0.375,0.5,0.8,0.5,0.0,0.0
6500,0.2857142857142857,0.3187066974595843,0.25,1.0,0.8,1.0,0.0,0.0
40000,0.5714285714285714,0.6882217090069284,0.25,1.0,0.8,1.0,0.5,0.4
12500,0.2857142857142857,0.4341801385681293,0.375,1.0,0.8,0.5,0.5,0.4
5500,0.2857142857142857,0.22632794457274827,0.25,1.0,0.8,1.0,0.5,0.0
5000,0.0,0.20323325635103925,0.5,0.5,0.8,0.5,0.5,0.0
6500,0.2857142857142857,0.3187066974595843,0.25,1.0,0.8,1.0,0.0,0.0
8000,0.0,0.22632794457274827,0.375,1.0,0.8,1.0,0.5,0.0
14500,0.5714285714285714,0.8267898383371823,0.25,1.0,0.8,0.5,0.5,0.4
8200,0.0,0.22632794457274827,0.375,0.5,0.8,0.5,0.5,0.0
15000,0.2857142857142857,0.21709006928406466,0.25,0.5,0.8,0.0,0.5,0.4
20000,0.9999999999999999,0.45727482678983833,0.375,1.0,0.8,0.5,0.5,0.4
6700,0.2857142857142857,0.3648960739030023,0.375,1.0,0.8,0.0,0.5,0.0
10000,0.0,0.19630484988452657,0.5,1.0,0.8,1.0,0.5,0.0
7000,0.2857142857142857,0.3187066974595843,0.25,0.5,0.8,0.5,0.5,0.4
22000,0.2857142857142857,0.3648960739030023,0.75,1.0,0.8,0.0,0.5,0.0
6500,0.2857142857142857,0.20323325635103925,0.375,1.0,0.8,1.0,0.5,0.0
8500,0.2857142857142857,0.24942263279445726,0.5,0.5,0.8,0.5,0.5,0.0
18000,0.2857142857142857,0.3648960739030023,0.25,0.5,0.8,1.0,0.0,0.4
12000,0.2857142857142857,0.24942263279445726,0.25,0.5,0.8,0.5,1.0,0.4
