,BHK,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Rent
0,2,1100,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,10000
1,2,800,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,20000
2,2,1000,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,17000
3,2,800,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,10000
4,2,850,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,7500
5,2,600,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,7000
6,2,700,0,Super Area,Kolkata,Unfurnished,Bachelors,2,10000
7,1,250,1,Super Area,Kolkata,Unfurnished,Bachelors,1,5000
8,2,800,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,26000
9,2,1000,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,10000
10,3,1200,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,25000
11,1,400,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
12,1,250,1,Carpet Area,Kolkata,Furnished,Bachelors,1,6500
13,1,375,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5500
14,3,900,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,8500
15,3,1286,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,40000
16,2,600,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6000
17,2,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,10000
18,2,2000,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,11000
19,2,660,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
20,2,650,1,Carpet Area,Kolkata,Unfurnished,Family,1,7900
21,2,400,2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,9000
22,1,300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,4000
23,3,1600,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6500
24,1,400,1,Super Area,Kolkata,Semi-Furnished,Bachelors,1,8000
25,2,1000,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
26,1,355,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5300
27,2,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6000
28,2,800,4,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,8500
29,2,850,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,12500
30,1,350,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7500
31,2,900,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,15000
32,2,550,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6000
33,2,500,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,5000
34,3,1100,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,22000
35,2,850,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,15000
36,2,800,2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,12500
37,2,630,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,7000
38,2,900,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,21000
39,1,270,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,10000
40,2,630,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,7200
41,3,1500,0,Carpet Area,Kolkata,Furnished,Bachelors,2,12000
42,1,600,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
43,2,700,4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8500
44,1,300,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6000
45,2,1300,0,Super Area,Kolkata,Semi-Furnished,Family,2,10000
46,2,400,3,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,4600
47,2,650,0,Super Area,Kolkata,Unfurnished,Family,2,12000
48,3,2000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,30000
49,3,1068,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,15000
50,1,150,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,7500
51,1,450,2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,7500
52,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
53,2,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,15000
54,2,900,5,Super Area,Kolkata,Semi-Furnished,Bachelors,1,11000
55,1,600,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
56,2,1200,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
57,2,1200,2,Super Area,Kolkata,Semi-Furnished,Bachelors,2,6000
58,2,650,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,7000
59,2,720,4,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,8500
60,1,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,5000
61,3,1200,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,30000
62,2,700,7,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,10000
63,3,2000,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,30000
64,1,250,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,3500
65,2,1100,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,8000
66,1,300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
67,2,600,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,7500
68,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,6500
69,1,680,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7500
70,1,680,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7500
71,2,850,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,16000
72,2,850,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,16000
73,2,700,0,Super Area,Kolkata,Unfurnished,Bachelors,1,6500
74,3,1500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,40000
75,2,950,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,12500
76,2,500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,5500
77,1,450,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
78,2,700,0,Super Area,Kolkata,Unfurnished,Bachelors,1,6500
79,1,500,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,8000
80,3,1800,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,14500
81,1,500,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8200
82,2,480,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,15000
83,6,1000,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,20000
84,2,800,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,6700
85,1,435,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,10000
86,2,700,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,7000
87,2,800,4,Super Area,Kolkata,Furnished,Bachelors/Family,1,22000
88,2,450,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6500
89,2,550,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8500
90,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,18000
91,2,550,0,Carpet Area,Kolkata,Semi-Furnished,Family,2,12000
92,1,600,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,9000
93,1,500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
94,2,1000,1,Super Area,Kolkata,Furnished,Bachelors/Family,2,20000
95,1,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
96,2,1200,1,Super Area,Kolkata,Furnished,Bachelors/Family,2,12000
97,2,500,3,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,10000
98,4,1200,1,Super Area,Kolkata,Unfurnished,Family,2,18000
99,2,900,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,15000
100,3,1300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,22000
101,4,1600,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,35000
102,3,1450,0,Super Area,Kolkata,Unfurnished,Family,2,21000
103,2,1100,2,Super Area,Kolkata,Furnished,Bachelors,2,25000
104,2,950,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,180000
105,1,600,8,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
106,2,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,14000
107,3,750,0,Super Area,Kolkata,Unfurnished,Family,1,8000
108,2,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,8000
109,1,220,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,6000
110,1,300,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,8000
111,1,300,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
112,1,700,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,20000
113,3,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,12000
114,3,1600,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,15000
115,2,1000,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,14000
116,1,20,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
117,2,400,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
118,1,200,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,3900
119,3,840,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,14000
120,1,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,6300
121,2,550,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,13000
122,1,300,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,6800
123,2,800,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,8000
124,2,740,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,10000
125,2,1300,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,18000
126,2,650,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8000
127,2,490,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8000
128,1,250,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,4700
129,1,250,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,4700
130,1,450,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,4500
131,1,300,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6000
132,2,750,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,16000
133,1,250,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,4700
134,2,751,3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,14000
135,2,900,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,9000
136,2,400,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
137,2,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,17500
138,2,1000,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,8500
139,3,1500,1,Carpet Area,Kolkata,Semi-Furnished,Family,2,15000
140,2,750,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,12500
141,1,1200,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,13000
142,2,700,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,8000
143,2,700,4,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,8000
144,2,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8000
145,2,1200,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,7000
146,2,550,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,2200
147,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,8000
148,2,280,1,Super Area,Kolkata,Unfurnished,Bachelors,1,5500
149,3,1100,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,20000
150,2,950,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
151,1,250,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,3500
152,2,1000,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,5000
153,3,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,20000
